book_num,sentence,rob_sentiment,rob_score,rob_all_scores
0,uncle vernon go pale whisper something sound like mimblewimble hagrid stare wildly harry,neutral,0.87799174,"{'neutral': 0.87799174, 'negative': 0.06226597, 'positive': 0.05974222}"
0,she grab harry wand tap lock whisper alohomora,neutral,0.8935042,"{'neutral': 0.8935042, 'positive': 0.08240734, 'negative': 0.024088508}"
0,wingardium leviosa shout wave long arm like windmill,neutral,0.7237462,"{'neutral': 0.7237462, 'positive': 0.24543244, 'negative': 0.030821431}"
0,it winggardium leviosa make gar nice long,neutral,0.550518,"{'neutral': 0.550518, 'positive': 0.41176078, 'negative': 0.03772121}"
0,hermione roll sleeve gown flick wand say wingardium leviosa,neutral,0.8536455,"{'neutral': 0.8536455, 'positive': 0.11574829, 'negative': 0.030606145}"
0,hermione sunk floor fright ron pull wand know go hear cry first spell come head wingardium leviosa,neutral,0.8138795,"{'neutral': 0.8138795, 'negative': 0.12056292, 'positive': 0.0655576}"
0,now forget locomotor mortis hermione mutter ron slip wand sleeve,neutral,0.8118827,"{'neutral': 0.8118827, 'negative': 0.114630796, 'positive': 0.073486485}"
0,petrificus totalus cry point neville,neutral,0.6703277,"{'neutral': 0.6703277, 'negative': 0.23586147, 'positive': 0.09381077}"
0,they tug heave door budge even hermione try alohomora charm,neutral,0.84393173,"{'neutral': 0.84393173, 'positive': 0.097213894, 'negative': 0.058854356}"
1,he roll sleeve brandish wand bellow peskipiksi pesternomi,neutral,0.84280115,"{'neutral': 0.84280115, 'positive': 0.11592198, 'negative': 0.041276842}"
1,both swung wands head point opponent snape cry expelliarmus there dazzle flash scarlet light lockhart blast foot he fly backward stage smash wall slide sprawl floor,neutral,0.8418423,"{'neutral': 0.8418423, 'positive': 0.116479225, 'negative': 0.041678496}"
1,he stumble everything still seem work waste time harry pointed wand straight malfoy shout rictusempra,negative,0.5563957,"{'negative': 0.5563957, 'neutral': 0.41116956, 'positive': 0.032434776}"
1,harry hang back vague feeling would unsporte bewitch malfoy floor mistake gasp breath malfoy point wand harry knee choke tarantallegra next second harry leg begin jerk around control kind quickstep,neutral,0.85818636,"{'neutral': 0.85818636, 'negative': 0.10702453, 'positive': 0.03478909}"
1,finite incantatem shout harry foot stop dance malfoy stop laugh able look,neutral,0.5833453,"{'neutral': 0.5833453, 'negative': 0.22842175, 'positive': 0.18823291}"
1,malfoy raise wand quickly bellow serpensortia,neutral,0.82843596,"{'neutral': 0.82843596, 'positive': 0.1001474, 'negative': 0.07141665}"
1,she tap diary three time say aparecium,neutral,0.7471087,"{'neutral': 0.7471087, 'negative': 0.18980613, 'positive': 0.06308511}"
1,he pull wand shout expelliarmus snape disarm lockhart malfoy find diary shoot hand air,neutral,0.85931104,"{'neutral': 0.85931104, 'positive': 0.10134807, 'negative': 0.03934083}"
1,harry take wand murmur lumos tiny light appear end enough let watch path sign spider,neutral,0.8702575,"{'neutral': 0.8702575, 'positive': 0.114894055, 'negative': 0.014848427}"
1,lockhart barely raise harry bellow expelliarmus,neutral,0.7054471,"{'neutral': 0.7054471, 'negative': 0.23965684, 'positive': 0.05489604}"
1,lumos harry muttered wand light,neutral,0.8429263,"{'neutral': 0.8429263, 'positive': 0.11320502, 'negative': 0.04386872}"
1,he raise ron spellotape wand high head yelled obliviate,neutral,0.7749938,"{'neutral': 0.7749938, 'positive': 0.20003434, 'negative': 0.024971887}"
2,lumos harry muttered light appear end wand almost dazzle,neutral,0.626463,"{'neutral': 0.626463, 'positive': 0.36286828, 'negative': 0.010668687}"
2,I eard think e secondincommand youknow oo ad take,neutral,0.7543471,"{'neutral': 0.7543471, 'negative': 0.13186397, 'positive': 0.11378896}"
2,they ad job coverin din ern stan say,neutral,0.8776004,"{'neutral': 0.8776004, 'negative': 0.06580518, 'positive': 0.056594446}"
2,what say ad appene ern,neutral,0.83670944,"{'neutral': 0.83670944, 'negative': 0.122952275, 'positive': 0.040338323}"
2,we ad I m ere knight bus di n ern,neutral,0.88310647,"{'neutral': 0.88310647, 'positive': 0.093028754, 'negative': 0.02386478}"
2,he raise wand shoulder height say waddiwasi point peeve,neutral,0.5354044,"{'neutral': 0.5354044, 'negative': 0.43466786, 'positive': 0.029927725}"
2,after please riddikulus,neutral,0.7691115,"{'neutral': 0.7691115, 'positive': 0.19995524, 'negative': 0.030933263}"
2,riddikulus say class together,neutral,0.8843137,"{'neutral': 0.8843137, 'negative': 0.063514546, 'positive': 0.05217165}"
2,and raise wand thus cry riddikulus concentrate hard grandmother clothe,neutral,0.7111434,"{'neutral': 0.7111434, 'negative': 0.2163761, 'positive': 0.072480604}"
2,riddikulus cry parvati,neutral,0.7139845,"{'neutral': 0.7139845, 'negative': 0.23057131, 'positive': 0.055444192}"
2,riddikulus shout seamus,neutral,0.8647513,"{'neutral': 0.8647513, 'positive': 0.081112444, 'negative': 0.05413622}"
2,riddikulus yelled dean,neutral,0.7494387,"{'neutral': 0.7494387, 'negative': 0.19738686, 'positive': 0.053174462}"
2,riddikulus bellow ron spider leg vanish,neutral,0.86503637,"{'neutral': 0.86503637, 'negative': 0.08147472, 'positive': 0.05348897}"
2,then see silverywhite orb hang air front lupin say riddikulus almost lazily,neutral,0.8365346,"{'neutral': 0.8365346, 'positive': 0.093288764, 'negative': 0.07017656}"
2,riddikulus shout split second view snape lacy dress neville let great ha laughter boggart explode burst thousand tiny wisp smoke go,neutral,0.65570754,"{'neutral': 0.65570754, 'positive': 0.29846594, 'negative': 0.04582652}"
2,he hand team watch amazement hermione tap wand say impervius,neutral,0.49317363,"{'neutral': 0.49317363, 'positive': 0.49013045, 'negative': 0.016695954}"
2,the word inside say dissendium,neutral,0.51067954,"{'neutral': 0.51067954, 'negative': 0.45555297, 'positive': 0.033767506}"
2,dissendium harry whisper tap stone witch,neutral,0.8073219,"{'neutral': 0.8073219, 'negative': 0.09814313, 'positive': 0.09453503}"
2,he hold wand mutter lumos see narrow low earthy passageway,neutral,0.8717007,"{'neutral': 0.8717007, 'positive': 0.08726918, 'negative': 0.041030034}"
2,somewhere hermione whisper mobiliarbus,neutral,0.82002413,"{'neutral': 0.82002413, 'positive': 0.0939405, 'negative': 0.086035416}"
2,the incantation lupin clear throat expecto patronum,neutral,0.86339414,"{'neutral': 0.86339414, 'positive': 0.071636856, 'negative': 0.06496896}"
2,expecto patronum harry repeat breath expecto patronum,neutral,0.70920795,"{'neutral': 0.70920795, 'positive': 0.2734749, 'negative': 0.017317073}"
2,expecto patrono patronum sorry expecto patronum expecto patronum,negative,0.49967846,"{'negative': 0.49967846, 'neutral': 0.45436922, 'positive': 0.045952264}"
2,expecto patronum harry yell,neutral,0.6999472,"{'neutral': 0.6999472, 'positive': 0.2589646, 'negative': 0.041088186}"
2,expecto patronum,neutral,0.7262132,"{'neutral': 0.7262132, 'positive': 0.1788494, 'negative': 0.09493735}"
2,expecto,neutral,0.7231783,"{'neutral': 0.7231783, 'positive': 0.2070983, 'negative': 0.06972333}"
2,expecto patronum harry yell,neutral,0.6999472,"{'neutral': 0.6999472, 'positive': 0.2589646, 'negative': 0.041088186}"
2,expecto patronum,neutral,0.7262132,"{'neutral': 0.7262132, 'positive': 0.1788494, 'negative': 0.09493735}"
2,expecto pat,neutral,0.72965586,"{'neutral': 0.72965586, 'positive': 0.21099682, 'negative': 0.059347335}"
2,expecto patronum harry bellow,neutral,0.732527,"{'neutral': 0.732527, 'positive': 0.24457815, 'negative': 0.022894766}"
2,expecto patronum,neutral,0.7262132,"{'neutral': 0.7262132, 'positive': 0.1788494, 'negative': 0.09493735}"
2,expecto patronum,neutral,0.7262132,"{'neutral': 0.7262132, 'positive': 0.1788494, 'negative': 0.09493735}"
2,riddikulus roar lupin spring forwards,neutral,0.86450887,"{'neutral': 0.86450887, 'positive': 0.10729825, 'negative': 0.0281929}"
2,ron pull wand mutter lumo,neutral,0.8817099,"{'neutral': 0.8817099, 'positive': 0.060352046, 'negative': 0.057938095}"
2,plunge hand neck robe whip wand roar expecto patronum,neutral,0.8157974,"{'neutral': 0.8157974, 'positive': 0.14133263, 'negative': 0.042869993}"
2,harry quickly pull wand mutter dissendium shove bag statue could climb neville come around corner,neutral,0.88287985,"{'neutral': 0.88287985, 'positive': 0.098760456, 'negative': 0.018359683}"
