book_num,paragraph,rob_sentiment,rob_score,rob_all_scores,rob_emotion,rob_emotion_score,all_emotion_scores
0,hagrid look explode dursley boom uncle vernon go pale whisper something sound like mimblewimble hagrid stare wildly harry but yeh must know yer mom dad say I mean famous,neutral,0.7825336,"{'neutral': 0.7825336, 'positive': 0.17099364, 'negative': 0.046472777}",neutral,0.8592,"[{'label': 'neutral', 'score': 0.8592366576194763}, {'label': 'approval', 'score': 0.06880379468202591}, {'label': 'admiration', 'score': 0.016690298914909363}, {'label': 'realization', 'score': 0.016071567311882973}, {'label': 'excitement', 'score': 0.0152271194383502}, {'label': 'amusement', 'score': 0.008843380026519299}, {'label': 'annoyance', 'score': 0.008069228380918503}, {'label': 'joy', 'score': 0.004659420344978571}, {'label': 'surprise', 'score': 0.00461985357105732}, {'label': 'disgust', 'score': 0.003857015399262309}, {'label': 'optimism', 'score': 0.0022880034521222115}, {'label': 'curiosity', 'score': 0.0021952521055936813}, {'label': 'love', 'score': 0.0020402197260409594}, {'label': 'disappointment', 'score': 0.001933386898599565}, {'label': 'fear', 'score': 0.0016186614520847797}, {'label': 'confusion', 'score': 0.0015737413195893168}, {'label': 'disapproval', 'score': 0.0014981427229940891}, {'label': 'anger', 'score': 0.0012601909693330526}, {'label': 'desire', 'score': 0.0012169401161372662}, {'label': 'pride', 'score': 0.00107569748070091}, {'label': 'embarrassment', 'score': 0.001005299505777657}, {'label': 'sadness', 'score': 0.0007774856640025973}, {'label': 'relief', 'score': 0.0006744469283148646}, {'label': 'caring', 'score': 0.0004950911970809102}, {'label': 'nervousness', 'score': 0.0004594992205966264}, {'label': 'grief', 'score': 0.0002742744400165975}, {'label': 'gratitude', 'score': 0.0002740052295848727}, {'label': 'remorse', 'score': 0.00015094618720468134}]"
0,they could hear footstep filch run fast could toward peeve shout oh move hermione snarl she grab harry wand tap lock whisper alohomora the lock click door swung open pile shut quickly press ear listen which way go peeve filch say,neutral,0.89361995,"{'neutral': 0.89361995, 'positive': 0.07318965, 'negative': 0.033190396}",neutral,0.9687,"[{'label': 'neutral', 'score': 0.9687110781669617}, {'label': 'approval', 'score': 0.011767590418457985}, {'label': 'annoyance', 'score': 0.007821338251233101}, {'label': 'realization', 'score': 0.00538735743612051}, {'label': 'admiration', 'score': 0.0032879672944545746}, {'label': 'amusement', 'score': 0.0029372216667979956}, {'label': 'anger', 'score': 0.002858690218999982}, {'label': 'disappointment', 'score': 0.002693789778277278}, {'label': 'excitement', 'score': 0.002674434334039688}, {'label': 'confusion', 'score': 0.0026597159449011087}, {'label': 'disgust', 'score': 0.0024963475298136473}, {'label': 'disapproval', 'score': 0.002483986783772707}, {'label': 'curiosity', 'score': 0.0020712583791464567}, {'label': 'optimism', 'score': 0.0019629800226539373}, {'label': 'fear', 'score': 0.0018409882904961705}, {'label': 'sadness', 'score': 0.001830407534725964}, {'label': 'joy', 'score': 0.001763340667821467}, {'label': 'caring', 'score': 0.0012968260562047362}, {'label': 'desire', 'score': 0.0011403592070564628}, {'label': 'surprise', 'score': 0.0011367221595719457}, {'label': 'love', 'score': 0.0010974417673423886}, {'label': 'embarrassment', 'score': 0.0008808059501461685}, {'label': 'gratitude', 'score': 0.0008175338734872639}, {'label': 'nervousness', 'score': 0.00042273971484974027}, {'label': 'grief', 'score': 0.00042062695138156414}, {'label': 'remorse', 'score': 0.00036760515649802983}, {'label': 'pride', 'score': 0.0003639257629401982}, {'label': 'relief', 'score': 0.0003275496419519186}]"
0,seamus get impatient prod wand set fire harry put hat ron next table much luck wingardium leviosa shout wave long arm like windmill you say wrong harry hear hermione snap it winggardium leviosa make gar nice long,neutral,0.6704356,"{'neutral': 0.6704356, 'positive': 0.17465095, 'negative': 0.15491343}",neutral,0.9201,"[{'label': 'neutral', 'score': 0.9200919270515442}, {'label': 'annoyance', 'score': 0.057833585888147354}, {'label': 'approval', 'score': 0.013026611879467964}, {'label': 'disapproval', 'score': 0.008085339330136776}, {'label': 'anger', 'score': 0.006408270448446274}, {'label': 'disappointment', 'score': 0.005698296707123518}, {'label': 'optimism', 'score': 0.004801246803253889}, {'label': 'caring', 'score': 0.004322678316384554}, {'label': 'realization', 'score': 0.003713598707690835}, {'label': 'admiration', 'score': 0.003679680172353983}, {'label': 'amusement', 'score': 0.002860758453607559}, {'label': 'disgust', 'score': 0.001859347801655531}, {'label': 'excitement', 'score': 0.0015897199045866728}, {'label': 'desire', 'score': 0.0015551206888630986}, {'label': 'joy', 'score': 0.0014584714081138372}, {'label': 'sadness', 'score': 0.0012873999075964093}, {'label': 'curiosity', 'score': 0.000951094669289887}, {'label': 'gratitude', 'score': 0.0008764671511016786}, {'label': 'embarrassment', 'score': 0.0007818808080628514}, {'label': 'confusion', 'score': 0.0007363664335571229}, {'label': 'relief', 'score': 0.0005487603484652936}, {'label': 'surprise', 'score': 0.0004933344898745418}, {'label': 'pride', 'score': 0.000410043285228312}, {'label': 'fear', 'score': 0.0003879098512697965}, {'label': 'love', 'score': 0.0003487270441837609}, {'label': 'remorse', 'score': 0.0002823798276949674}, {'label': 'nervousness', 'score': 0.0002501523995306343}, {'label': 'grief', 'score': 0.00021487091726157814}]"
0,wingardium leviosa shout wave long arm like windmill you say wrong harry hear hermione snap it winggardium leviosa make gar nice long you clever ron snarl hermione roll sleeve gown flick wand say wingardium leviosa,neutral,0.63337123,"{'neutral': 0.63337123, 'positive': 0.19746707, 'negative': 0.16916175}",neutral,0.9572,"[{'label': 'neutral', 'score': 0.9572436809539795}, {'label': 'annoyance', 'score': 0.02006392739713192}, {'label': 'approval', 'score': 0.008936308324337006}, {'label': 'disapproval', 'score': 0.006372854579240084}, {'label': 'anger', 'score': 0.005884640850126743}, {'label': 'realization', 'score': 0.0056513650342822075}, {'label': 'disappointment', 'score': 0.004612680058926344}, {'label': 'disgust', 'score': 0.004555932711809874}, {'label': 'amusement', 'score': 0.004006371833384037}, {'label': 'admiration', 'score': 0.002396543975919485}, {'label': 'sadness', 'score': 0.002225210191681981}, {'label': 'confusion', 'score': 0.001945203053764999}, {'label': 'fear', 'score': 0.0015930201625451446}, {'label': 'embarrassment', 'score': 0.0015781131805852056}, {'label': 'excitement', 'score': 0.0013960631331428885}, {'label': 'joy', 'score': 0.0013843020424246788}, {'label': 'optimism', 'score': 0.0013545500114560127}, {'label': 'curiosity', 'score': 0.0010956341866403818}, {'label': 'surprise', 'score': 0.0010053707519546151}, {'label': 'caring', 'score': 0.000944822037126869}, {'label': 'love', 'score': 0.0007871842826716602}, {'label': 'desire', 'score': 0.000725434860214591}, {'label': 'gratitude', 'score': 0.0006579718319699168}, {'label': 'grief', 'score': 0.00041455653263255954}, {'label': 'nervousness', 'score': 0.0003690690500661731}, {'label': 'remorse', 'score': 0.00036536212428472936}, {'label': 'pride', 'score': 0.0003520408645272255}, {'label': 'relief', 'score': 0.0003054630651604384}]"
0,it winggardium leviosa make gar nice long you clever ron snarl hermione roll sleeve gown flick wand say wingardium leviosa their feather rise desk hover four foot head oh well do cry professor flitwick clapping,neutral,0.48010144,"{'neutral': 0.48010144, 'positive': 0.4232219, 'negative': 0.0966767}",neutral,0.9657,"[{'label': 'neutral', 'score': 0.9657106399536133}, {'label': 'approval', 'score': 0.01295484695583582}, {'label': 'annoyance', 'score': 0.008116885088384151}, {'label': 'admiration', 'score': 0.00780882965773344}, {'label': 'realization', 'score': 0.004708305466920137}, {'label': 'disappointment', 'score': 0.004518020898103714}, {'label': 'sadness', 'score': 0.0035826682578772306}, {'label': 'disgust', 'score': 0.0035212929360568523}, {'label': 'disapproval', 'score': 0.003413983853533864}, {'label': 'amusement', 'score': 0.0031866782810539007}, {'label': 'excitement', 'score': 0.002902722917497158}, {'label': 'joy', 'score': 0.0027647807728499174}, {'label': 'anger', 'score': 0.0026157198008149862}, {'label': 'fear', 'score': 0.0018966719508171082}, {'label': 'love', 'score': 0.0016124248504638672}, {'label': 'optimism', 'score': 0.00148531433660537}, {'label': 'confusion', 'score': 0.0014228039653971791}, {'label': 'gratitude', 'score': 0.0012956107966601849}, {'label': 'caring', 'score': 0.0012788567692041397}, {'label': 'desire', 'score': 0.0012355531798675656}, {'label': 'curiosity', 'score': 0.001109320786781609}, {'label': 'surprise', 'score': 0.0010939810890704393}, {'label': 'embarrassment', 'score': 0.0010126709239557385}, {'label': 'grief', 'score': 0.0006415264797396958}, {'label': 'pride', 'score': 0.0006276392377912998}, {'label': 'relief', 'score': 0.0005292362766340375}, {'label': 'remorse', 'score': 0.00046295186621136963}, {'label': 'nervousness', 'score': 0.00043807204929180443}]"
0,the troll feel harry hang even troll notice stick long bit wood nose harry wand still hand jump go straight one troll nostril howl pain troll twist flail club harry cling dear life second troll go rip catch terrible blow club hermione sunk floor fright ron pull wand know go hear cry first spell come head wingardium leviosa the club fly suddenly troll hand rise high high air turn slowly drop sicken crack onto owner head the troll sway spot fall flat face thud make whole room tremble,negative,0.48045546,"{'negative': 0.48045546, 'neutral': 0.4721512, 'positive': 0.047393374}",neutral,0.7771,"[{'label': 'neutral', 'score': 0.7770815491676331}, {'label': 'fear', 'score': 0.2625190019607544}, {'label': 'disgust', 'score': 0.02328176237642765}, {'label': 'annoyance', 'score': 0.016822636127471924}, {'label': 'sadness', 'score': 0.016041448339819908}, {'label': 'nervousness', 'score': 0.009913679212331772}, {'label': 'surprise', 'score': 0.009373226203024387}, {'label': 'disappointment', 'score': 0.00855073519051075}, {'label': 'realization', 'score': 0.008230779320001602}, {'label': 'anger', 'score': 0.008112316951155663}, {'label': 'embarrassment', 'score': 0.007423950359225273}, {'label': 'excitement', 'score': 0.00723241176456213}, {'label': 'amusement', 'score': 0.005887685343623161}, {'label': 'approval', 'score': 0.0055718510411679745}, {'label': 'joy', 'score': 0.004292200785130262}, {'label': 'disapproval', 'score': 0.003230512607842684}, {'label': 'confusion', 'score': 0.002935423282906413}, {'label': 'grief', 'score': 0.002821554196998477}, {'label': 'admiration', 'score': 0.0026957790832966566}, {'label': 'desire', 'score': 0.0025730247143656015}, {'label': 'curiosity', 'score': 0.0025379671715199947}, {'label': 'optimism', 'score': 0.0020825040992349386}, {'label': 'caring', 'score': 0.001991315046325326}, {'label': 'love', 'score': 0.0011773973237723112}, {'label': 'relief', 'score': 0.001107438700273633}, {'label': 'gratitude', 'score': 0.0010463243816047907}, {'label': 'pride', 'score': 0.0010221019620075822}, {'label': 'remorse', 'score': 0.0006813734071329236}]"
0,little harry know ron hermione secretly practice leglocker curse they get idea malfoy use neville ready use snape show sign want hurt harry now forget locomotor mortis hermione mutter ron slip wand sleeve I know ron snap don nag,neutral,0.4990783,"{'neutral': 0.4990783, 'negative': 0.47416928, 'positive': 0.02675245}",neutral,0.9701,"[{'label': 'neutral', 'score': 0.9700760245323181}, {'label': 'approval', 'score': 0.011617746204137802}, {'label': 'annoyance', 'score': 0.007603142410516739}, {'label': 'realization', 'score': 0.005377238616347313}, {'label': 'disapproval', 'score': 0.0038084452971816063}, {'label': 'disappointment', 'score': 0.003748925868421793}, {'label': 'admiration', 'score': 0.0031140255741775036}, {'label': 'anger', 'score': 0.003014461835846305}, {'label': 'disgust', 'score': 0.0028290057089179754}, {'label': 'amusement', 'score': 0.0028021710459142923}, {'label': 'sadness', 'score': 0.0026836772449314594}, {'label': 'excitement', 'score': 0.002627419540658593}, {'label': 'confusion', 'score': 0.0024048611521720886}, {'label': 'joy', 'score': 0.0023348117247223854}, {'label': 'optimism', 'score': 0.0019091743743047118}, {'label': 'fear', 'score': 0.0018246953841298819}, {'label': 'love', 'score': 0.0015695833135396242}, {'label': 'curiosity', 'score': 0.0015142642660066485}, {'label': 'desire', 'score': 0.0014477188233286142}, {'label': 'caring', 'score': 0.0012649176642298698}, {'label': 'surprise', 'score': 0.0010695104720070958}, {'label': 'gratitude', 'score': 0.0010181473335251212}, {'label': 'embarrassment', 'score': 0.0009665907709859312}, {'label': 'grief', 'score': 0.0005539073026739061}, {'label': 'remorse', 'score': 0.000483868207084015}, {'label': 'nervousness', 'score': 0.00042869936442002654}, {'label': 'pride', 'score': 0.00042499700793996453}, {'label': 'relief', 'score': 0.0003970238321926445}]"
0,neville say I really really sorry she raise wand petrificus totalus cry point neville neville arm snap side his leg spring together,negative,0.79572666,"{'negative': 0.79572666, 'neutral': 0.19004881, 'positive': 0.014224531}",remorse,0.7032,"[{'label': 'remorse', 'score': 0.703237771987915}, {'label': 'neutral', 'score': 0.21598516404628754}, {'label': 'sadness', 'score': 0.18276512622833252}, {'label': 'caring', 'score': 0.018090788275003433}, {'label': 'disappointment', 'score': 0.01580969989299774}, {'label': 'approval', 'score': 0.0149357495829463}, {'label': 'realization', 'score': 0.011881173588335514}, {'label': 'embarrassment', 'score': 0.010637480765581131}, {'label': 'disapproval', 'score': 0.008831897750496864}, {'label': 'annoyance', 'score': 0.0071111395955085754}, {'label': 'gratitude', 'score': 0.006284965667873621}, {'label': 'desire', 'score': 0.006095268297940493}, {'label': 'optimism', 'score': 0.005712037440389395}, {'label': 'grief', 'score': 0.005478300619870424}, {'label': 'amusement', 'score': 0.0052047413773834705}, {'label': 'love', 'score': 0.0047110458835959435}, {'label': 'curiosity', 'score': 0.004077686928212643}, {'label': 'anger', 'score': 0.003877421608194709}, {'label': 'confusion', 'score': 0.0036308548878878355}, {'label': 'joy', 'score': 0.003418061649426818}, {'label': 'disgust', 'score': 0.0033321683295071125}, {'label': 'admiration', 'score': 0.002331433119252324}, {'label': 'relief', 'score': 0.0023061048705130816}, {'label': 'nervousness', 'score': 0.0022564136888831854}, {'label': 'fear', 'score': 0.0019012774573639035}, {'label': 'excitement', 'score': 0.00144019047729671}, {'label': 'surprise', 'score': 0.0008537799585610628}, {'label': 'pride', 'score': 0.0006977348239161074}]"
0,he pull handle lock the two follow they tug heave door budge even hermione try alohomora charm now say ron these birdsthey decoration say hermione,neutral,0.8895717,"{'neutral': 0.8895717, 'positive': 0.07393258, 'negative': 0.036495704}",neutral,0.9642,"[{'label': 'neutral', 'score': 0.9642144441604614}, {'label': 'approval', 'score': 0.014201276004314423}, {'label': 'realization', 'score': 0.00805283710360527}, {'label': 'annoyance', 'score': 0.00708890613168478}, {'label': 'amusement', 'score': 0.004041498526930809}, {'label': 'excitement', 'score': 0.0033374668564647436}, {'label': 'confusion', 'score': 0.0032628111075609922}, {'label': 'disapproval', 'score': 0.002927749417722225}, {'label': 'admiration', 'score': 0.0028963512741029263}, {'label': 'disappointment', 'score': 0.002667440567165613}, {'label': 'joy', 'score': 0.002547706477344036}, {'label': 'disgust', 'score': 0.002196467947214842}, {'label': 'optimism', 'score': 0.0021905163303017616}, {'label': 'anger', 'score': 0.0018177398014813662}, {'label': 'curiosity', 'score': 0.0016669854521751404}, {'label': 'surprise', 'score': 0.0014354786835610867}, {'label': 'sadness', 'score': 0.001379951136186719}, {'label': 'fear', 'score': 0.0013105245307087898}, {'label': 'love', 'score': 0.0010277720866724849}, {'label': 'desire', 'score': 0.0010035166051238775}, {'label': 'embarrassment', 'score': 0.0009083257173188031}, {'label': 'caring', 'score': 0.0008304908405989408}, {'label': 'gratitude', 'score': 0.0007894841255620122}, {'label': 'pride', 'score': 0.00044422768405638635}, {'label': 'relief', 'score': 0.0004143765545450151}, {'label': 'nervousness', 'score': 0.00038056817720644176}, {'label': 'grief', 'score': 0.0003579332842491567}, {'label': 'remorse', 'score': 0.0003169644041918218}]"
1,they grab ink bottle spray class shred book paper tear picture wall upend waste basket grab bag book throw smash window within minute half class shelter desk neville swinge iron chandelier ceiling come round round pixie lockhart shout he roll sleeve brandish wand bellow peskipiksi pesternomi it absolutely effect one pixie seize wand throw window lockhart gulped dive desk narrowly avoid squashed neville fall second later chandelier give way,neutral,0.79693645,"{'neutral': 0.79693645, 'negative': 0.14465006, 'positive': 0.05841356}",neutral,0.9687,"[{'label': 'neutral', 'score': 0.968735933303833}, {'label': 'annoyance', 'score': 0.011678542010486126}, {'label': 'approval', 'score': 0.008966362103819847}, {'label': 'realization', 'score': 0.005405292846262455}, {'label': 'disappointment', 'score': 0.004837059415876865}, {'label': 'anger', 'score': 0.004705490544438362}, {'label': 'disapproval', 'score': 0.0046104141511023045}, {'label': 'sadness', 'score': 0.00399284902960062}, {'label': 'disgust', 'score': 0.0038949851877987385}, {'label': 'fear', 'score': 0.0028953251894563437}, {'label': 'admiration', 'score': 0.002424667589366436}, {'label': 'amusement', 'score': 0.002389974892139435}, {'label': 'confusion', 'score': 0.0021486906334757805}, {'label': 'optimism', 'score': 0.002005242742598057}, {'label': 'excitement', 'score': 0.0018250750144943595}, {'label': 'joy', 'score': 0.0016816931311041117}, {'label': 'caring', 'score': 0.0015676170587539673}, {'label': 'desire', 'score': 0.0015216346364468336}, {'label': 'curiosity', 'score': 0.0013801016611978412}, {'label': 'embarrassment', 'score': 0.001288523548282683}, {'label': 'surprise', 'score': 0.0011549614137038589}, {'label': 'love', 'score': 0.0010301190195605159}, {'label': 'gratitude', 'score': 0.0009974978165701032}, {'label': 'grief', 'score': 0.0006792836356908083}, {'label': 'nervousness', 'score': 0.0005826639826409519}, {'label': 'remorse', 'score': 0.0005523222498595715}, {'label': 'relief', 'score': 0.0004126657440792769}, {'label': 'pride', 'score': 0.0004094439500477165}]"
