book_num,paragraph,rob_sentiment,rob_score,rob_all_scores
0,hagrid look explode dursley boom uncle vernon go pale whisper something sound like mimblewimble hagrid stare wildly harry but yeh must know yer mom dad say I mean famous,neutral,0.7825336,"{'neutral': 0.7825336, 'positive': 0.17099364, 'negative': 0.046472777}"
0,they could hear footstep filch run fast could toward peeve shout oh move hermione snarl she grab harry wand tap lock whisper alohomora the lock click door swung open pile shut quickly press ear listen which way go peeve filch say,neutral,0.89361995,"{'neutral': 0.89361995, 'positive': 0.07318965, 'negative': 0.033190396}"
0,seamus get impatient prod wand set fire harry put hat ron next table much luck wingardium leviosa shout wave long arm like windmill you say wrong harry hear hermione snap it winggardium leviosa make gar nice long,neutral,0.6704356,"{'neutral': 0.6704356, 'positive': 0.17465095, 'negative': 0.15491343}"
0,wingardium leviosa shout wave long arm like windmill you say wrong harry hear hermione snap it winggardium leviosa make gar nice long you clever ron snarl hermione roll sleeve gown flick wand say wingardium leviosa,neutral,0.63337123,"{'neutral': 0.63337123, 'positive': 0.19746707, 'negative': 0.16916175}"
0,it winggardium leviosa make gar nice long you clever ron snarl hermione roll sleeve gown flick wand say wingardium leviosa their feather rise desk hover four foot head oh well do cry professor flitwick clapping,neutral,0.48010144,"{'neutral': 0.48010144, 'positive': 0.4232219, 'negative': 0.0966767}"
0,the troll feel harry hang even troll notice stick long bit wood nose harry wand still hand jump go straight one troll nostril howl pain troll twist flail club harry cling dear life second troll go rip catch terrible blow club hermione sunk floor fright ron pull wand know go hear cry first spell come head wingardium leviosa the club fly suddenly troll hand rise high high air turn slowly drop sicken crack onto owner head the troll sway spot fall flat face thud make whole room tremble,negative,0.48045546,"{'negative': 0.48045546, 'neutral': 0.4721512, 'positive': 0.047393374}"
0,little harry know ron hermione secretly practice leglocker curse they get idea malfoy use neville ready use snape show sign want hurt harry now forget locomotor mortis hermione mutter ron slip wand sleeve I know ron snap don nag,neutral,0.4990783,"{'neutral': 0.4990783, 'negative': 0.47416928, 'positive': 0.02675245}"
0,neville say I really really sorry she raise wand petrificus totalus cry point neville neville arm snap side his leg spring together,negative,0.79572666,"{'negative': 0.79572666, 'neutral': 0.19004881, 'positive': 0.014224531}"
0,he pull handle lock the two follow they tug heave door budge even hermione try alohomora charm now say ron these birdsthey decoration say hermione,neutral,0.8895717,"{'neutral': 0.8895717, 'positive': 0.07393258, 'negative': 0.036495704}"
1,they grab ink bottle spray class shred book paper tear picture wall upend waste basket grab bag book throw smash window within minute half class shelter desk neville swinge iron chandelier ceiling come round round pixie lockhart shout he roll sleeve brandish wand bellow peskipiksi pesternomi it absolutely effect one pixie seize wand throw window lockhart gulped dive desk narrowly avoid squashed neville fall second later chandelier give way,neutral,0.79693645,"{'neutral': 0.79693645, 'negative': 0.14465006, 'positive': 0.05841356}"
1,I bet harry murmur watch snape baring tooth one two three both swung wand head point opponent snape cry expelliarmus there dazzle flash scarlet light lockhart blast foot he fly backward stage smash wall slide sprawl floor malfoy slytherin cheer hermione dancing tiptoe,neutral,0.7289563,"{'neutral': 0.7289563, 'positive': 0.19489875, 'negative': 0.076144986}"
1,when I count three cast charm disarm opponent disarm want accident one two three harry swung wand high malfoy already start two his spell hit harry hard feel though hit head saucepan he stumble everything still seem work waste time harry pointed wand straight malfoy shout rictusempra a jet silver light hit malfoy stomach double wheezing I say disarm lockhart shout alarm head battle crowd malfoy sank knee harry hit tickling charm could barely move laugh,neutral,0.6812941,"{'neutral': 0.6812941, 'negative': 0.23400584, 'positive': 0.084700026}"
1,a jet silver light hit malfoy stomach double wheezing I say disarm lockhart shout alarm head battle crowd malfoy sank knee harry hit tickling charm could barely move laugh harry hang back vague feeling would unsporte bewitch malfoy floor mistake gasp breath malfoy point wand harry knee choke tarantallegra next second harry leg begin jerk around control kind quickstep stop stop scream lockhart snape take charge,neutral,0.56971717,"{'neutral': 0.56971717, 'negative': 0.3881731, 'positive': 0.042109687}"
