book_num,sentence
0,uncle vernon go pale whisper something sound like mimblewimble hagrid stare wildly harry
0,she grab harry wand tap lock whisper alohomora
0,wingardium leviosa shout wave long arm like windmill
0,it winggardium leviosa make gar nice long
0,hermione roll sleeve gown flick wand say wingardium leviosa
0,hermione sunk floor fright ron pull wand know go hear cry first spell come head wingardium leviosa
0,now forget locomotor mortis hermione mutter ron slip wand sleeve
0,petrificus totalus cry point neville
0,they tug heave door budge even hermione try alohomora charm
1,he roll sleeve brandish wand bellow peskipiksi pesternomi
1,both swung wands head point opponent snape cry expelliarmus there dazzle flash scarlet light lockhart blast foot he fly backward stage smash wall slide sprawl floor
1,he stumble everything still seem work waste time harry pointed wand straight malfoy shout rictusempra
1,harry hang back vague feeling would unsporte bewitch malfoy floor mistake gasp breath malfoy point wand harry knee choke tarantallegra next second harry leg begin jerk around control kind quickstep
1,finite incantatem shout harry foot stop dance malfoy stop laugh able look
1,malfoy raise wand quickly bellow serpensortia
1,she tap diary three time say aparecium
1,he pull wand shout expelliarmus snape disarm lockhart malfoy find diary shoot hand air
1,harry take wand murmur lumos tiny light appear end enough let watch path sign spider
1,lockhart barely raise harry bellow expelliarmus
1,lumos harry muttered wand light
1,he raise ron spellotape wand high head yelled obliviate
2,lumos harry muttered light appear end wand almost dazzle
2,I eard think e secondincommand youknow oo ad take
2,they ad job coverin din ern stan say
2,what say ad appene ern
2,we ad I m ere knight bus di n ern
2,he raise wand shoulder height say waddiwasi point peeve
2,after please riddikulus
2,riddikulus say class together
2,and raise wand thus cry riddikulus concentrate hard grandmother clothe
2,riddikulus cry parvati
2,riddikulus shout seamus
2,riddikulus yelled dean
2,riddikulus bellow ron spider leg vanish
2,then see silverywhite orb hang air front lupin say riddikulus almost lazily
2,riddikulus shout split second view snape lacy dress neville let great ha laughter boggart explode burst thousand tiny wisp smoke go
2,he hand team watch amazement hermione tap wand say impervius
2,the word inside say dissendium
2,dissendium harry whisper tap stone witch
2,he hold wand mutter lumos see narrow low earthy passageway
2,somewhere hermione whisper mobiliarbus
2,the incantation lupin clear throat expecto patronum
2,expecto patronum harry repeat breath expecto patronum
2,expecto patrono patronum sorry expecto patronum expecto patronum
2,expecto patronum harry yell
2,expecto patronum
2,expecto
2,expecto patronum harry yell
2,expecto patronum
2,expecto pat
2,expecto patronum harry bellow
2,expecto patronum
2,expecto patronum
2,riddikulus roar lupin spring forwards
2,ron pull wand mutter lumo
2,plunge hand neck robe whip wand roar expecto patronum
2,harry quickly pull wand mutter dissendium shove bag statue could climb neville come around corner
2,you tap say dissendium say harry
2,lumos whisper
2,nox whisper together light end wand go
2,he dog animagus
2,expelliarmus croak point ron wand
2,expelliarmus lupin shout
2,an animagus say black name peter pettigrew
2,because people would know peter pettigrew animagus
2,your father sirius clever student school lucky animagus transformation go horribly wrong one reason ministry keep close watch attempt
2,all year I battle wonder whether I tell dumbledore sirius animagus
2,and I convince sirius get school use dark art learn voldemort animagus nothing way snape right along
2,expelliarmus yell except voice shout
2,he hurry ron bent tap ron leg wand mutter ferula bandage spin ron leg strap tightly splint
2,he mutter mobilicorpus as though invisible string tie snape wrist neck knee pull standing position head still loll unpleasantly like grotesque puppet
2,expelliarmus harry yelled point wand pettigrew lupin wand fly high air sight
2,he force think sirius sirius begin chant expecto patronum
2,expecto patronum
2,expecto patronum
2,expecto patronum
2,expecto hermione whisper expecto expecto
2,expecto patronum harry yelled try blot scream ear
2,expecto patronum
2,expecto expecto patronum
2,expecto patronum gasp
2,he innocent expecto expecto patronum
2,he fight expecto patronum see distance hear familiar scream expecto patronum grope mist sirius find arm go take
2,it ron rat animagus pettigrew I mean
2,expecto patronum yell
2,alohomora
3,the dursley never allow general wish keep harry miserable possible coupled fear power lead lock school trunk cupboard stair every summer prior
3,incendio say mr weasley point wand hole wall behind
3,mrs weasley point wand george pocket say accio
3,accio
3,accio
3,accio shout toffee zoom sort unlikely place include line george jacket turnup fre jean
3,obliviate say sharply point wand mr roberts
3,ludo whip wand direct throat say sonorus speak roar sound fill pack stadium voice echo boom every corner stand
3,at last irish team leave box perform another lap honor broom aidan lynch back connolly clutch hard around waist still grin bemused sort way bagman point wand throat mutter quietus
3,oh stupid lumo
3,morsmordre
3,stupefy roar twenty voice blind series flash harry feel hair head ripple though powerful wind sweep clearing
3,he raise wand point winky say rennervate
3,prior incantato roar mr diggory
3,deletrius mr diggory shout smoky skull vanish wisp smoke
3,ron say hermione reproachfully pull wand mutter reparo glass shard fly back single pane back door
3,he point wand mutter imperio
3,engorgio
3,moody raise wand point spider mutter crucio
3,reducio moody mutter spider shrink back proper size
3,avada kedavra hermione whisper
3,avada kedavra kill curse
3,avada kedavra moody roar
3,avada kedavra curse need powerful bit magic behind could get wand point say word I doubt I get much nosebleed
3,now three curse avada kedavra imperius cruciatus know unforgivable curse
3,when avada kedavra way spider die snuff right
3,moody raise wand point harry say imperio
3,furnunculus harry yell
3,densaugeo scream malfoy
3,mr ollivander run finger along wand apparently check scratch bump mutter orchideous bunch flower burst wand tip
3,rather thick one usually see quite rigid ten quarter inch avis
3,stupefy shout unison stunning spell shoot darkness like fiery rocket burst shower star dragon scaly hide
3,diffindo
3,accio dictionary
3,accio firebolt shout
3,accio parchment
3,I learn animagus like sirius
3,an animagus wizard could transform animal
3,it take year become animagus register everything say hermione vaguely squint index weird wizarde dilemma their solution
3,lumos harry whisper fifteen minute later open library door
3,bagman give harry shoulder quick squeeze return judge table point wand throat do world cup say sonorus voice boom across dark water toward stand
3,relashio harry shout except sound come
3,they squeeze find cool dimly light cave
3,chicken say hoarsely remove old daily prophet mouth throw onto cave floor
3,thank say sirius opening grab drumstick sit cave floor tear large chunk tooth
3,he nod yellow daily prophet cave floor ron pick unfold
3,you three dumbledore one around know I animagus say sirius shrug continue devour chicken leg
3,when harry finish sirius foot start pace cave
3,sirius pace around cave silence
3,the malfoy say ron suddenly loudly voice echo around cave buckbeak toss head nervously
3,he walk cave back say imagine voldemort powerful
3,sirius stare cave wall make grimace frustration
3,sirius lapse silence still stare cave wall
3,he transform great black dog leave cave walk back mountainside across boulderstrewn ground back stile
3,he work flatout get homework though make point send regular food package cave mountain sirius last summer harry forget feel like continually hungry
3,lumos dumbledore say lighting wand holding
3,then dumbledore bent krum pointed wand mutter rennervate
3,crucio say cold voice
3,it I suggest mountainside cave safe place stay
3,bagman point wand throat mutter sonorus magically magnify voice echo stand
3,he pull wand mutter lumos hear cedric behind
3,he summon happy thought could concentrated might think get maze celebrate ron hermione raise wand cry expecto patronum
3,riddikulus
3,reducto say
3,stupefy
3,impedimenta harry yell
3,impedimenta
3,crucio
3,stupefy harry yell
3,stupefy harry yelled spell hit spider gigantic hairy black body good might well throw stone spider jerk scuttle around run harry instead
3,stupefy
3,impedimenta
3,stupefy
3,he could hear cedric yell stupefy spell effect harry harry raised wand spider open pincer shout expelliarmus
3,without pause think aim high spider underbelly do skrewt shout stupefy cedric yelled thing
3,a swishing noise second voice screech word night avada kedavra
3,crucio
3,crucio
3,priori incantatem
3,all learn disarm spell expelliarmus use would deprive voldemort wand even could surround death eater outnumber least thirty one
3,he know face thing moody always warn unblockable avada kedavra curse voldemort right mother die time
3,imperio
3,as harry shout expelliarmus voldemort cry avada kedavra
3,impedimenta bellow point wand wildly shoulder death eater run
3,accio harry yelled point wand triwizard cup
3,stupefy there blind flash red light great splintering crash door moody office blast apart
3,then point wand man chest say rennervate
3,priori incantatem mutter
3,no see rita skeeter hermione voice tremble quiet triumph unregistere animagus
3,who use furnunculus curse
3,point I whisper wand hold flat palm
3,point I whisper wand spin around pointed righthand one
4,where wand come lumo
4,expecto patronum
4,expecto patronum
4,expecto patronum
4,lumos
